new_clipi-j,old_clipi-j,id,name,nodding,looking_down,getting_closer,active_hand,smile,vol_mean,vol_std,pitch_mean,pitch_std,word_num,sentiment,positive,negative,neutral,w0,w1,w2,w3,w4,event_type,time_start,time_end,dialogue
clip16-17,clip19-12,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.198,0.023,0.779,0.136,0.145,0.138,0.152,0.135,all_activity,19:28.4,19:31.5,"gabrielle Carla to go ahead, stop it stop."
clip16-18,clip19-13,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.253,0.024,0.723,0.036,0.032,0.034,0.033,0.037,all_activity,19:32.0,19:33.2,It stop it.
clip16-19,clip19-14,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.47,0.018,0.512,0.036,0.032,0.034,0.033,0.037,all_activity,19:33.2,19:33.5,stop it.
clip17-1,clip19-15,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.161,0.02,0.819,0.136,0.145,0.138,0.152,0.135,all_question,19:33.6,19:41.4,You go there you go yeah now when your parents said those words like that stuffing did they have to get loud for you to know what was going on.
clip17-2,clip20-1,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.175,0.044,0.781,0.036,0.032,0.034,0.033,0.037,all_question,20:00.0,20:10.9,"A little bit okay anybody here know the movie karate kid knows, Mr miyagi yeah he used his diaphragm the whole time."
clip17-3,clip20-2,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.097,0.024,0.879,0.136,0.145,0.138,0.152,0.135,all_question,20:12.2,20:20.0,"Daniel son right Daniel son, you need to focus focus he didn't yell it wasn't about focus it wasn't."
clip18-1,clip20-3,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.169,0.02,0.811,0.136,0.145,0.138,0.152,0.135,single_activity,20:21.8,20:29.7,"All right, all right, but come back to you now everybody, I want you to find one word that you want to place this intensity behind."
clip18-2,clip20-4,1,Gabriela,1,0,1,0,0,0,0,0,0,0,0,0.13,0.02,0.85,0.225,0.24,0.223,0.234,0.224,single_activity,20:30.8,20:42.2,"And again indicate it somehow different from your loud So if you circled the word for loud maybe underline it for diaphragm but do something different, and begin tell me what that word is when you have yours."
clip18-3,clip21-1,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.023,0.007,0.97,0.036,0.032,0.034,0.033,0.037,single_activity,20:43.2,20:43.7,Okay.
clip18-4,clip21-2,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.128,0.005,0.867,0.036,0.032,0.034,0.033,0.037,single_activity,21:00.4,21:00.7,yeah.
clip18-5,clip21-3,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.778,0.035,0.187,0.036,0.032,0.034,0.033,0.037,single_activity,21:03.1,21:03.8,means.
clip18-6,clip21-4,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.199,0.022,0.779,0.036,0.032,0.034,0.033,0.037,single_activity,21:04.9,21:05.9,Does it called.
clip18-7,clip21-5,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.122,0.006,0.872,0.036,0.032,0.034,0.033,0.037,single_activity,21:07.6,21:08.9,I mean the word and new quote.
clip18-8,clip21-6,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.44,0.031,0.529,0.136,0.145,0.138,0.152,0.135,single_activity,21:11.0,21:23.6,"Yes, so you have one word, you have your words look that you're doing in loud what is another word that you want to use your diaphragm on another word that you want place emphasis on but with an intensity behind it."
clip18-9,clip21-7,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.733,0.016,0.251,0.036,0.032,0.034,0.033,0.037,single_activity,21:38.0,21:39.0,I couldn't find.
clip18-10,clip21-8,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.559,0.027,0.414,0.036,0.032,0.034,0.033,0.037,single_activity,21:43.0,21:54.6,"It might feel a little weird and awkward that's Okay, but I still want you to get practice with it so choose choose the best word for it, even if it doesn't feel perfect it's about you practicing with your voice in your throat."
clip18-11,clip21-9,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.034,0.003,0.963,0.036,0.032,0.034,0.033,0.037,single_activity,22:08.1,22:10.1,"Why don't you read your quote to me, and maybe I can help."
clip18-12,clip21-10,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.293,0.018,0.689,0.136,0.145,0.138,0.152,0.135,single_activity,22:12.3,22:18.9,"You can either look for reasons to succeed or find excuses to fail, what are you searching for."
clip18-13,clip21-11,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.098,0.026,0.876,0.136,0.145,0.138,0.152,0.135,single_activity,22:19.8,22:21.6,"All right, let's try the word fail."
clip18-14,clip21-12,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.134,0.025,0.841,0.036,0.032,0.034,0.033,0.037,single_activity,22:23.3,22:25.2,"Okay, from diaphragm."
clip18-15,clip21-13,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.24,0.042,0.718,0.136,0.145,0.138,0.152,0.135,single_activity,22:25.7,22:37.8,"yep so you can whatever you want to do to indicate that that's the diaphragm technique, but remember everybody put a slash before the word and a slash after the word remember your micro clauses."
clip18-16,clip21-14,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.119,0.037,0.844,0.136,0.145,0.138,0.152,0.135,single_activity,22:38.4,22:43.3,"Now we'll come back to you, I want you to say the word fell natural normal voice just say fail."
clip18-17,clip21-15,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.341,0.015,0.644,0.136,0.145,0.138,0.152,0.135,single_activity,22:45.1,22:53.0,You can either look for reasons to succeed or find excuses to fail.
clip18-18,clip21-16,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.334,0.02,0.646,0.136,0.145,0.138,0.152,0.135,single_activity,22:53.6,22:56.1,"Now, yes, very good, so we have."
clip19-1,clip21-17,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.072,0.029,0.899,0.136,0.145,0.138,0.152,0.135,none,22:56.6,23:01.4,"When we say it natural normal voice it's fail and it almost is extended, a little bit fail."
clip19-2,clip21-18,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.153,0.031,0.816,0.136,0.145,0.138,0.152,0.135,none,23:01.7,23:14.8,"But when you use your diaphragm you place that owns behind it, we had that we heard that in your voice, it was felt it's almost like you make those words shorter you make it more constraint right fail okay now let's get to the last one."
clip19-3,clip22-1,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.209,0.023,0.768,0.136,0.145,0.138,0.152,0.135,none,23:16.1,23:24.3,"For volume so we're doing three for volume so 123 here's number three in your list go ahead, under diaphragm for number three right down whisper."
clip20-1,clip22-2,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,all_question,23:26.1,23:30.2,"whisper now why is whisper important, why does whisper matter."
clip20-2,clip22-3,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.035,0.016,0.949,0.036,0.032,0.034,0.033,0.037,all_question,23:33.1,23:34.7,It also takes attention.
clip20-3,clip22-4,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.139,0.041,0.82,0.036,0.032,0.034,0.033,0.037,all_question,23:35.5,23:36.1,In what way.
clip20-4,clip22-5,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.241,0.022,0.737,0.136,0.145,0.138,0.152,0.135,all_question,23:37.8,23:38.3,You know.
clip20-5,clip22-6,1,Gabriela,1,0,0,0,1,0,0,0,0,0,0,0.312,0.024,0.664,0.136,0.145,0.138,0.152,0.135,all_question,23:40.2,23:55.7,"It may mean that you know the presenter is saying something important it takes their attention and the recipients or the listeners would be more careful in listening, the message."
clip20-6,clip22-7,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.39,0.03,0.58,0.136,0.145,0.138,0.152,0.135,all_question,23:55.9,24:00.1,They might lean in a little bit and in a whisper could also feel a little bit special to.
clip20-7,clip22-8,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.624,0.012,0.364,0.036,0.032,0.034,0.033,0.037,all_question,24:00.5,24:04.7,"And then we perk up, we want to know it feels a little bit special now."
clip20-8,clip22-9,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.527,0.007,0.466,0.136,0.145,0.138,0.152,0.135,all_question,24:05.1,24:18.0,"If we go down our list loud, we did on one word a bold word diaphragm one word that intense word whisper, however, does not go on one word whisper goes on two or three."
clip20-9,clip22-10,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.531,0.012,0.457,0.136,0.145,0.138,0.152,0.135,all_question,24:18.5,24:26.3,"of your wisest words, two or three that are two or three words back to back to back in a word, group next to each other."
clip21-1,clip22-11,1,Gabriela,1,0,1,0,0,0,0,0,0,0,0,0.459,0.015,0.526,0.225,0.24,0.223,0.234,0.224,single_question,24:26.6,24:40.0,"That are your, why is this word so everybody find on your quote where are your, why is this words and you can do a little squiggly line underneath to indicate your whisper technique so become tell me when you have your whisper words."
clip21-2,clip22-12,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.078,0.021,0.901,0.036,0.032,0.034,0.033,0.037,single_question,24:40.1,24:43.1,It mine is the last sentence.
clip21-3,clip22-13,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,single_question,24:44.0,24:48.1,"How many words, is that, though, is that more than 304 words."
clip21-4,clip22-14,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,single_question,24:49.5,24:51.6,"All right, so tell me tell me what the words are."
clip21-5,clip22-15,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,single_question,24:52.0,24:53.6,What are you searching for.
clip21-6,clip22-16,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,single_question,24:56.6,24:58.0,"Okay, great let's try that."
clip22-1,clip23-1,1,Gabriela,1,0,1,1,0,0,0,0,0,0,0,0.182,0.017,0.801,0.303,0.315,0.299,0.301,0.303,all_activity,24:58.4,25:10.9,Okay now each of you gabrielle and Carla come on off mute and and I want the three of you to put your hands up like this and natalie just do whatever makes sense for you.
clip22-2,clip23-2,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.067,0.024,0.909,0.036,0.032,0.034,0.033,0.037,all_activity,25:11.3,25:12.9,Put your hands up like this.
clip22-3,clip23-3,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.05,0.053,0.897,0.036,0.032,0.034,0.033,0.037,all_activity,25:13.9,25:14.9,It become.
clip22-4,clip23-4,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.047,0.027,0.926,0.036,0.032,0.034,0.033,0.037,all_activity,25:16.1,25:19.3,"Oh, there you go now I want you to lean in and say whisper."
clip22-5,clip23-5,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.192,0.021,0.787,0.036,0.032,0.034,0.033,0.037,all_activity,25:20.1,25:20.8,whisper.
clip22-6,clip23-6,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.39,0.015,0.595,0.136,0.145,0.138,0.152,0.135,all_activity,25:22.0,25:30.8,Okay now whisper is not about being soft the audience still needs to hear you whisper is about aspirated your voice so I want you to.
clip22-7,clip23-7,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.53,0.06,0.41,0.136,0.145,0.138,0.152,0.135,all_activity,25:31.1,25:39.3,"channel your inner marlon brando from godfather Okay, and I want you to ask for it your voice, I want you to lean in with your hands, I want you to say whisper."
clip22-8,clip23-8,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.149,0.003,0.848,0.036,0.032,0.034,0.033,0.037,all_activity,25:40.6,25:41.4,whisper.
clip22-9,clip23-9,1,Gabriela,0,0,0,0,0,66.28617917,11.00464726,186.0153689,43.1441086,2,0,0.148,0.018,0.834,0.179,0.19,0.175,0.175,0.177,all_activity,25:41.5,25:42.8,whisper thing.
clip22-10,clip23-10,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.584,0.015,0.401,0.214,0.22,0.214,0.221,0.214,all_activity,25:42.8,25:49.5,"Good good good now, if you think about it diaphragm we're forcing air out but we're doing it to a short point."
clip23-1,clip23-11,1,Gabriela,1,0,0,0,1,0,0,0,0,0,0,0.303,0.012,0.685,0.136,0.145,0.138,0.152,0.135,single_activity,25:50.0,26:09.3,"whisper we're still forcing air out but it's a softer feel and elongates the words okay that's the difference alright, so I want you to put all of your techniques together for the full sentence okay now what i'm going to be listening for is that you have your micro pauses."
clip23-2,clip23-12,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.198,0.013,0.789,0.214,0.22,0.214,0.221,0.214,single_activity,26:10.5,26:20.8,"So pause pause pause shift now that we're pause shift back down natural normal voice we're going to listen, for your loud your diaphragm and now you're."
clip23-3,clip23-13,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.725,0.012,0.263,0.036,0.032,0.034,0.033,0.037,single_activity,26:22.5,26:23.3,"All right, go for it."
clip23-4,clip23-14,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.634,0.021,0.345,0.136,0.145,0.138,0.152,0.135,single_activity,26:24.3,26:27.8,You can either look for reasons.
clip23-5,clip23-15,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.05,0.006,0.944,0.036,0.032,0.034,0.033,0.037,single_activity,26:28.2,26:29.7,That are again start again number.
clip23-6,clip23-16,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.461,0.033,0.506,0.036,0.032,0.034,0.033,0.037,single_activity,26:30.2,26:32.0,20 points up with a look.
clip23-7,clip23-17,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.202,0.026,0.772,0.136,0.145,0.138,0.152,0.135,single_activity,26:32.6,26:36.4,"Look, there you got it you got it your daughter's gonna be like she yelling at me."
clip23-8,clip23-18,1,Gabriela,0,0,0,1,1,0,0,0,0,0,0,0.179,0.03,0.791,0.115,0.107,0.11,0.101,0.117,single_activity,26:39.2,26:45.8,You can either look for reasons to succeed or find excuses.
clip23-9,clip23-19,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.052,0.012,0.936,0.036,0.032,0.034,0.033,0.037,single_activity,26:47.9,26:48.8,To fail.
clip23-10,clip23-20,1,Gabriela,0,0,0,1,0,0,0,0,0,0,0,0.05,0.005,0.945,0.115,0.107,0.11,0.101,0.117,single_activity,26:50.1,26:52.2,What are you what are you looking for.
clip24-1,clip24-1,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.125,0.008,0.867,0.136,0.145,0.138,0.152,0.135,all_question,27:05.6,27:06.5,i'm going to i'm going to.
clip24-2,clip24-2,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.077,0.029,0.894,0.136,0.145,0.138,0.152,0.135,all_question,27:08.5,27:14.7,"There we go i'm going to get that ready and get you into your breakout rooms, when you go into your breakout rooms it's just about repetition repetition repetition."
clip24-3,clip24-3,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.196,0.014,0.79,0.136,0.145,0.138,0.152,0.135,all_question,27:15.3,27:28.9,"But with your partner being your voice coach so each of you, I want you to do exactly what me and begum did here when the speaker is doing their quote and they have their loud and their diaphragm and their whisper."
clip24-4,clip24-4,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.321,0.012,0.667,0.136,0.145,0.138,0.152,0.135,all_question,27:29.4,27:41.3,"I want you to pay attention can you detect where the loudest can you detect where the diaphragm is, and if you can't what I want you to say to the speaker as their coach what do I want you to say to them."
clip24-5,clip24-5,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.004,0.001,0.995,0.036,0.032,0.034,0.033,0.037,all_question,27:44.7,27:45.0,Okay.
clip24-6,clip24-6,1,Gabriela,1,0,0,0,0,65.03865044,10.3564408,195.891542,39.85322618,13,0.5,0.236,0.009,0.755,0.313,0.337,0.312,0.328,0.309,all_question,27:51.8,27:56.4,To put more emphasis on that allow the whisper that they have room.
clip24-7,clip24-7,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.285,0.027,0.688,0.136,0.145,0.138,0.152,0.135,all_question,27:56.8,28:03.8,that's right gabrielle I want you to do it again put more on to look more into a push yourself more and more more so you're there coach i'm giving you that hat.
clip24-8,clip24-8,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.246,0.015,0.739,0.214,0.22,0.214,0.221,0.214,all_question,28:04.3,28:17.1,"Then, when you're done, and they have a chance to do it, two or three times, then switch other partner goes and they'll coach you in the same way, no push it's gotta be it's gotta be louder it's got to be stronger it's got to have more pause try it again all right."
clip24-9,clip24-9,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.472,0.028,0.5,0.136,0.145,0.138,0.152,0.135,all_question,28:19.6,28:20.8,let's do.
clip25-1,clip25-1,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.172,0.011,0.817,0.214,0.22,0.214,0.221,0.214,all_activity,30:40.6,30:48.0,"All right, I want to, I want to get a feel for these three techniques i'm going to ask you two questions which one was easiest and which one was hardest."
clip25-2,clip25-2,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.477,0.011,0.512,0.214,0.22,0.214,0.221,0.214,all_activity,30:48.5,31:02.0,"Show me a one or two or three one means loud one mean two means diaphragm three means whisper out of all three of these techniques which one was which one did you like, which one was the easiest one, two or three."
clip25-3,clip25-3,1,Gabriela,0,0,0,1,0,0,0,0,0,0,0,0.139,0.009,0.852,0.115,0.107,0.11,0.101,0.117,all_activity,31:03.2,31:13.6,"everybody's usually a little different on this so it's all right different yep I just Okay, so we have we have a split some people like allowed some people like the timeframe nice okay so which one was the hardest, then, is that mean."
clip25-4,clip25-4,1,Gabriela,1,0,0,0,0,65.48919959,8.31790651,226.021226,56.76963929,13,0.1,0.102,0.021,0.877,0.316,0.343,0.316,0.332,0.311,all_activity,31:13.6,31:19.3,"Well, please note that latinas team, we found we found the loud easier."
clip25-5,clip25-5,1,Gabriela,0,0,0,1,0,64.94084755,10.06685668,195.858374,40.42946261,5,0.3,0.081,0.011,0.908,0.273,0.279,0.265,0.257,0.272,all_activity,31:19.3,31:21.5,For us it's more natural.
clip25-6,clip25-6,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.214,0.027,0.759,0.214,0.22,0.214,0.221,0.214,all_activity,31:21.8,31:24.3,Okay there's a bit of a theme there.
clip25-7,clip25-7,1,Gabriela,0,0,1,0,1,0,0,0,0,0,0,0.05,0.013,0.937,0.126,0.127,0.119,0.114,0.127,all_activity,31:24.9,31:30.1,"Exactly all right, which one which one was hardest which one we did not like so much out of the three."
clip25-8,clip26-1,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.248,0.018,0.734,0.036,0.032,0.034,0.033,0.037,all_activity,31:41.9,31:48.4,"Okay, raise your hands, if you have nieces or nephews that's me I have nieces and nephews raise your hand if you are once a kid yourself."
clip26-1,clip26-2,1,Gabriela,1,0,0,0,1,0,0,0,0,0,0,0.061,0.008,0.931,0.136,0.145,0.138,0.152,0.135,all_question,31:49.8,31:55.7,"Okay, good now we have everybody all right now, when you read a book to a child, how is it that you read the book."
clip26-2,clip26-3,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.125,0.016,0.859,0.136,0.145,0.138,0.152,0.135,all_question,31:59.5,32:03.2,very pronounced eyebrows lots of emphasis yeah.
clip26-3,clip26-4,1,Gabriela,1,0,0,0,0,45.36949082,22.54379402,205.6933396,19.74195725,3,0.25,0.141,0.004,0.855,0.265,0.286,0.265,0.281,0.261,all_question,32:03.5,32:05.9,say exactly yeah.
clip26-4,clip26-5,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.124,0.016,0.86,0.136,0.145,0.138,0.152,0.135,all_question,32:05.9,32:13.9,We become the characters we have our loud we dive whisper we have the facial expression we throw ourselves into creating that visual impression.
clip27-1,clip26-6,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.418,0.006,0.576,0.136,0.145,0.138,0.152,0.135,none,32:14.5,32:21.7,"The truth is, it is natural and normal for us as human beings to stretch ourselves in this way, what is not natural and normal."
clip27-2,clip26-7,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.281,0.005,0.714,0.136,0.145,0.138,0.152,0.135,none,32:22.1,32:26.5,"And this is understandable, is that when we go into a professional environment we've been taught."
clip27-3,clip26-8,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.506,0.013,0.481,0.136,0.145,0.138,0.152,0.135,none,32:27.2,32:35.6,or decades over decades over decades from boss's boss's boss's boss's that we've had that to speak means we have to put ourselves in this box of formality.
clip27-4,clip26-9,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.496,0.013,0.491,0.136,0.145,0.138,0.152,0.135,none,32:36.1,32:47.0,Right this box of formality and it's closed down our personality my goal is not to make you super theatrical like we're practicing right now my goal is to take that box and stretch it.
clip28-1,clip27-1,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.07,0.005,0.925,0.136,0.145,0.138,0.152,0.135,all_activity,33:06.6,33:11.4,Alright Gabriella now gabrielle I want you to read your quote to the group.
clip28-2,clip27-2,1,Gabriela,1,0,1,0,0,0,0,0,0,0,0,0.131,0.012,0.857,0.225,0.24,0.223,0.234,0.224,all_activity,33:11.7,33:23.6,"You can practice your loud techniques you're not you're allowed your volume techniques, if you want, but just so you know we're going to actually be listening, for your speed range so everybody, I want you to put your meters up again."
clip28-3,clip27-3,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.154,0.011,0.835,0.136,0.145,0.138,0.152,0.135,all_activity,33:23.9,33:35.9,"As gabrielle a reads her quote I want you to pay attention to the speed of her voice now she gets a little fast with as little slower way slower, I want you to gauge it with your meter okay."
clip28-4,clip27-4,1,Gabriela,1,0,1,1,0,0,0,0,0,0,0,0.177,0.015,0.808,0.303,0.315,0.299,0.301,0.303,all_activity,33:36.4,33:44.5,gabrielle when you're ready oh everybody close your eyes so it's accurate close your eyes focus only on the speed of her voice every i'll go for it.
clip28-5,clip27-5,1,Gabriela,1,0,0,0,0,49.03679912,22.43384935,194.5162992,55.04049822,8,0.25,0.094,0.004,0.902,0.295,0.32,0.296,0.311,0.292,all_activity,33:48.0,33:54.3,"seek first to understand, then to be understood."
clip28-6,clip27-6,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.454,0.005,0.541,0.136,0.145,0.138,0.152,0.135,all_activity,33:55.6,33:58.2,"All right, open your eyes, where was her range from where to where."
clip28-7,clip27-7,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.678,0.01,0.312,0.036,0.032,0.034,0.033,0.037,all_activity,33:59.6,34:02.2,"Okay, it was a little bit slower yeah."
clip29-1,clip27-8,1,Gabriela,1,0,0,1,0,0,0,0,0,0,0,0.366,0.013,0.621,0.214,0.22,0.214,0.221,0.214,all_activity,34:03.3,34:13.0,All right now let's figure out what our ranges everybody take your hand now stretch it over the front of your body oh and come off mute come off mute for a second everybody repeat after me.
clip29-2,clip27-9,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.202,0.019,0.779,0.036,0.032,0.034,0.033,0.037,all_activity,34:14.0,34:18.7,There we go now repeat after me and I want you to say the word superfast.
clip29-3,clip27-10,1,Gabriela,0,0,0,0,1,0,0,0,0,0,0,0.168,0.004,0.828,0.036,0.032,0.034,0.033,0.037,all_activity,34:21.8,34:23.0,yeah oh there's my dog.
clip29-4,clip27-11,1,Gabriela,0,0,0,0,1,0,0,0,0,0,0,0.1,0.005,0.895,0.036,0.032,0.034,0.033,0.037,all_activity,34:23.4,34:25.1,Okay now take your hands.
clip29-5,clip27-12,1,Gabriela,1,0,0,0,1,0,0,0,0,0,0,0.14,0.006,0.854,0.136,0.145,0.138,0.152,0.135,all_activity,34:25.1,34:31.9,"and put them parallel right here, I want you to say staccato slow ready."
clip29-6,clip27-13,1,Gabriela,0,0,0,0,0,61.22233482,12.81625603,225.7193921,74.82252753,3,0,0.047,0.003,0.95,0.206,0.22,0.202,0.202,0.204,all_activity,34:33.4,34:35.3,"to Canada, no."
clip29-7,clip27-14,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.014,0.001,0.985,0.036,0.032,0.034,0.033,0.037,all_activity,34:35.5,34:36.2,"No, no."
clip29-8,clip27-15,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.194,0.008,0.798,0.036,0.032,0.034,0.033,0.037,all_activity,34:36.7,34:45.6,"Okay, these this is number four, what are we on this is number four number five on your list and in the top number four right super fast."
clip29-9,clip27-16,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.032,0.034,0.033,0.037,all_activity,34:48.5,34:53.8,And number five right staccato slow staccato slow.
clip30-1,clip28-1,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.156,0.013,0.831,0.136,0.145,0.138,0.152,0.135,all_question,35:02.6,35:05.8,Now does anybody know this word staccato have you heard this word before.
clip30-2,clip28-2,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.689,0.003,0.308,0.036,0.032,0.034,0.033,0.037,all_question,35:06.9,35:07.2,and
clip30-3,clip28-3,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.884,0.012,0.104,0.036,0.032,0.034,0.033,0.037,all_question,35:08.1,35:08.7,I haven't.
clip30-4,clip28-4,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.514,0.016,0.47,0.036,0.032,0.034,0.033,0.037,all_question,35:09.6,35:16.3,"I tend to misuse it, but it generally means kind of shopping shopping like like very kind of isolated at all."
clip30-5,clip28-5,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.352,0.009,0.639,0.136,0.145,0.138,0.152,0.135,all_question,35:17.0,35:35.6,"yeah and where does it come from it's a musical term isn't it, it is that's exactly right and it means what you said it means short choppy don't pump pump pump pump pump So what we want is a cadence like that a structure like that, but we want it at a slower tempo we want from."
clip30-6,clip28-6,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.994,0.036,0.032,0.034,0.033,0.037,all_question,35:36.7,35:37.0,well.
clip30-7,clip28-7,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.042,0.001,0.957,0.036,0.032,0.034,0.033,0.037,all_question,35:38.1,35:38.4,i'm.
clip32-1,clip29-9,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.356,0.027,0.617,0.036,0.032,0.034,0.033,0.037,none,36:17.9,36:19.8,Hello Katerina.
clip32-2,clip29-10,1,Gabriela,1,0,0,0,0,0,0,0,0,0,0,0.645,0.012,0.343,0.136,0.145,0.138,0.152,0.135,none,36:20.0,36:21.5,Sorry it's Kathy i'm.
clip32-3,clip29-11,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.729,0.009,0.262,0.036,0.032,0.034,0.033,0.037,none,36:21.5,36:22.5,Joining very late.
clip32-4,clip29-12,1,Gabriela,0,0,0,1,0,0,0,0,0,0,0,0.158,0.011,0.831,0.115,0.107,0.11,0.101,0.117,none,36:22.7,36:23.7,I had a conflict.
clip32-5,clip29-13,1,Gabriela,0,0,0,0,0,0,0,0,0,0,0,0.233,0.03,0.737,0.036,0.032,0.034,0.033,0.037,none,36:24.6,36:27.3,"All right, Kathy glad you can join us Kathy."
clip32-6,clip29-14,1,Gabriela,0,0,1,1,0,0,0,0,0,0,0,0.309,0.054,0.637,0.204,0.202,0.195,0.182,0.206,none,36:28.4,36:39.3,Go to page six and seven might want to write this down page six and seven on a PDF that you got October 19 from Andrew.
